1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
rénover l'habitat dégradé,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,un dispositif d'aides trop complexe;"Situation géographique > 1h de Paris, 30 mn de Bruxelles, 1h30 de Londres...  
Lille > ville attractive jeune et dynamique, offre culturelle importante, ville de premier plan mais restant à taille humaine
MEL > Nombreuses entreprises, sièges sociaux, écoles, start-ups,... 
Région Nord-Pas-de-Calais accueillante, gastronomie, sport...";Non;Non;Non;Non;ne se prononce pas;Non;un bailleur social,votre mairie,autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),autre;autre;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;25-35 ans;emploi salarié;Lomme;individuel;propriétaire occupant;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;L'accueil, la gentillesse, l'ambiance, les infrastructures, l'offre culturelle, les hôpitaux, l'emploi;Oui;Oui;Oui;Oui;internet, conseillers travaillant pour la MEL chargés d'accompagner les habitants dans leur projet de rénovation , autre;Oui;un bailleur social,votre mairie,la MEL;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;Hellemmes;individuel;propriétaire occupant;je vis seul sans enfant
construire plus de logements,améliorer l'habitat existant sur le plan énergétique;des garanties financières trop sélectives,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés pour obtenir un prêt,ne se prononce pas;un dispositif d'aides trop complexe,la crainte que les travaux se passent mal;Dynamique agréable et chaleureux;Oui;Oui;Non;Oui;bouche à oreille;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Lille fives;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,adapter les logements au vieillissement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,un dispositif d'aides trop complexe;Tout à proximité;Oui;Non;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un recueil numérique de bonnes pratiques,témoignages d'habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;18-24 ans;étudiant;Lille;collectif;locataire d'un logement privé;je vis en colocation
construire plus de logements,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des logements de trop faible qualité,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;Qualité de vie;Non;Non;Non;Non;;Non;un bailleur social,votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi non salarié;Lille;collectif;propriétaire occupant;je vis en couple sans enfant
rénover l'habitat dégradé,adapter les logements au vieillissement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement;Qualité de vie;Non;Non;Non;Non;ne se prononce pas;Non;la MEL;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Lille;individuel;locataire d'un logement privé;je vis en colocation
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;Proximité des transports;Oui;Oui;Non;Non;;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social,un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un préfinancement des travaux;50-64 ans;emploi salarié;Wattignies;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Accessible des commerces plus transport;Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un préfinancement des travaux;25-35 ans;emploi salarié;Templeuve;individuel;propriétaire occupant;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des garanties financières trop sélectives;des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;Tout sous la main, beau, propre;Oui;Non;Non;Non;;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un recueil numérique de bonnes pratiques,témoignages d'habitants,un préfinancement des travaux;50-64 ans;sans emploi;Mouvaux;collectif;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,adapter les logements au vieillissement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Plus de travail;;;;;;;;;;;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;Loos;collectif;locataire d'un logement social;je vis en couple avec enfant(s)
rénover l'habitat dégradé,faciliter l'accès des jeunes au logement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,la crainte que les travaux se passent mal;Selon moi, on souhaite habiter dans la MEL car c'est un territoire d'avenir de par sa proximité au grande villes européennes ainsi que de sa troisième  révolution industrielle lié aux nouvelles technologies. La MEL est aussi une métropole possédant une richesse culturelle incomparable.;Oui;Non;Non;Non;;Non;;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;J'habite à Wambrechies.;individuel;locataire d'un logement social;autre
construire plus de logements,mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;Car c'est une région vivante et agréable;Non;Oui;Oui;Non;ne se prononce pas;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;18-24 ans;étudiant;Lille;collectif;locataire d'un logement privé;je vis en colocation
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;ne se prononce pas;ne se prononce pas;Ville au rythme agréable, avec beaucoup de ressources culturelles et d'initiatives culturelles tans privées qu'individuelles, un centre vivant...;Non;Non;Non;Non;ne se prononce pas;Non;votre mairie;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif),autre;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants;35-49 ans;emploi salarié;LILLE;collectif;locataire d'un logement privé;je vis seul sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;;Oui;Oui;Oui;Oui;autre;Non;un bailleur social,votre mairie,la MEL;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,des tutoriels vidéos pour les travaux;25-35 ans;emploi salarié;;individuel;locataire d'un logement privé;je vis seul sans enfant
améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;;Non;Oui;Non;Oui;bouche à oreille;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;emploi salarié;Croix;collectif;locataire d'un logement social;je vis seul avec enfant(s)
construire plus de logements,mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;;Oui;Non;Non;Non;;Non;un bailleur social;Oui;un meilleur conseil pour obtenir un logement social,un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;lille;collectif;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;ne se prononce pas;ne se prononce pas;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;pole urbain dense, présence du métro et tramway;Non;Oui;Non;Oui;internet;Non;"le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées;35-49 ans;emploi salarié;croix;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;;Oui;Non;Non;Non;;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;Quesnoy sur deule;individuel;locataire d'un logement social;autre
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,adapter les logements au vieillissement;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés pour obtenir un prêt;un dispositif d'aides trop complexe;;Oui;Non;Non;Non;internet;;un bailleur social;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux;50-64 ans;emploi salarié;Roubaix;individuel;locataire d'un logement social;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché;ne se prononce pas;ne se prononce pas;ne se prononce pas;Les métros transport en commun;Non;Non;Non;Non;;Non;votre mairie;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées;50-64 ans;emploi salarié;Wattrelos;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);un dispositif d'aides trop complexe;pour le travail mais aussi pour la proximité d'activités culturelles et de services;Oui;Oui;Oui;Oui;autre;Oui;un bailleur social;Oui;un meilleur conseil pour obtenir un logement social,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants,un préfinancement des travaux;35-49 ans;emploi salarié;Lille -Fives;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;ne se prononce pas;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,trouver une entreprise qualifiée;La métropole mixe logements et travail;Oui;Oui;Oui;Oui;internet;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;lambersart;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal,ne se prononce pas;Afin d’être proche de toutes commodités;Non;Non;Non;Non;prospectus, journaux locaux (ville, MEL);Non;un bailleur social,votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;autre;18-24 ans;étudiant;Wattrelos;individuel;locataire d'un logement privé;je vis seul sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée;;Oui;Oui;Oui;Oui;internet, bouche à oreille;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Croix;individuel;propriétaire occupant;je vis seul sans enfant
